,Segments,Type,YEAR,Total exports million USD,Main exports destiny,Value exports main partner,Partner share (%),Total Imports million U$S,Main imports origin,Value imports main partner,COUNTRY,DESCRIPTION,VALUE,PARTNER,SOURCE
176,,,2022.0,,,,,,,,India,exports medical devices (USD million),2923.16,,
177,,,2022.0,,,,,,,,India,imports medical devices (USD million),8539.5,,
178,,,2022.0,,,,,,,,India,imports (USD billion),8.06,,
179,,,2022.0,,,,,,,,India,exports (USD billion),23.5,,
180,,,2018.0,,,,,,,,India,imports (rupias),32796.0,,
181,,,2018.0,,,,,,,,India,exports (rupias),110195.0,,
182,,,2018.0,,,,,,,,India,imports (USD billion),4.89,,
183,,,2018.0,,,,,,,,India,exports (USD billion),16.91,,
184,,,2017.0,,,,,,,,Argentina,exports (million USD),56.6,,
185,,,2017.0,,,,,,,,Argentina,exports equipments (%),0.52,,
186,,,2017.0,,,,,,,,Argentina,exports raw materials (%),0.26,,
187,,,2017.0,,,,,,,,Argentina,exports implants (%),0.22,,
188,,,2017.0,,,,,,,,Argentina,imports (million USD),839.8,,
189,,,2017.0,,,,,,,,Argentina,imports equipments (%),0.54,,
190,,,2017.0,,,,,,,,Argentina,imports raw materials (%),0.29,,
191,,,2017.0,,,,,,,,Argentina,imports implants (%),0.17,,
192,,,2018.0,,,,,,,,Argentina,exports (million USD),928.0,,
193,,,2021.0,,,,,,,,Argentina,Ventas Medicamento ético (Mill. Pesos),586.1,,
194,,,2021.0,,,,,,,,Argentina,Ventas Medicamento de venta libre (Mill. Pesos),74.7,,
195,,,2021.0,,,,,,,,Argentina,Consumo Medicamento ético (Mill. Pesos),545.7,,
196,,,2021.0,,,,,,,,Argentina,Consumo Medicamento de venta libre (Mill. Pesos),203.9,,
197,,,2021.0,,,,,,,,Argentina,Exportaciones (mill USD) ,1123.8,,
198,,,2021.0,,,,,,,,Argentina,Importaciones (mill USD),4838.3,,
199,,,2021.0,,,,,,,,Argentina,Exportaciones principios activos (mill USD),211.1,,
200,,,2021.0,,,,,,,,Argentina,Exportaciones Medicamentos (mill USD),883.9,,
201,,,2021.0,,,,,,,,Argentina,Exportaciones Reactivos (mill USD),28.8,,
202,,,2021.0,,,,,,,,Argentina,Importaciones principios activos (mill USD),1341.5,,
203,,,2021.0,,,,,,,,Argentina,Importaciones Medicamentos (mill USD),3291.6,,
204,,,2021.0,,,,,,,,Argentina,Importaciones Reactivos (mill USD),205.4,,
205,,,,,,,,,,,Brazil,strategical molecules,50.0,,
206,,,,,,,,,,,Brazil,strategical molecules production ,7.0,,
207,,,,,,,,,,,Brazil,API production,124.0,,
208,,,,,,,,,,,Several,API production,20.0,,
209,,,,,,,,,,,Several,Raw materials Brazil and Argentina total,350.0,,
210,,,,,,,,,,,India,API production,500.0,,
